auction_id,market_number,market_name,market_population,bidding_units,small_market_indicator
107,PEA305,"Altus, OK",142644,430,Y
107,PEA306,"Wichita Falls, TX",142252,430,Y
107,PEA307,"Yankton, SD",141973,430,Y
107,PEA308,"Americus, GA",138886,420,Y
107,PEA309,"Elizabeth City, NC",137035,410,Y
107,PEA310,"Farmington, MO",133395,400,Y
107,PEA311,"Trinidad, CO",132721,400,Y
107,PEA312,"Farmington, NM",130044,390,Y
107,PEA313,"Lockhart, TX",128849,390,Y
107,PEA314,"Jacksonville, TX",127971,380,Y
107,PEA315,"Sheridan, WY",127963,380,Y
107,PEA316,"Rock Springs, WY",125434,380,Y
107,PEA317,"Beatrice, NE",124932,370,Y
107,PEA318,"Thief River Falls, MN",124110,370,Y
107,PEA319,"Albany, GA",122863,370,Y
107,PEA320,"San Angelo, TX",119412,360,Y
107,PEA321,"Batesville, IN",118693,360,Y
107,PEA322,"Minot, ND",116439,350,Y
107,PEA323,"Socorro, NM",114543,340,Y
107,PEA324,"Honesdale, PA",110191,330,Y
107,PEA325,"Bismarck, ND",108779,330,Y
107,PEA326,"Fergus Falls, MN",108648,330,Y
107,PEA327,"Orangeburg, SC",107676,320,Y
107,PEA328,"Winslow, AZ",107449,320,Y
107,PEA329,"Kingsville, TX",104558,310,Y
107,PEA330,"Olney, IL",102976,310,Y
107,PEA331,"Plainview, TX",102732,310,Y
107,PEA332,"Bennettsville, SC",102615,310,Y
107,PEA333,"Sidney, OH",102382,310,Y
107,PEA334,"Pampa, TX",100685,300,Y
107,PEA335,"Natchitoches, LA",99546,300,Y
107,PEA336,"Grand Forks, ND",98461,300,Y
107,PEA337,"Mineral Wells, TX",95311,290,Y
107,PEA338,"Durango, CO",91716,280,Y
107,PEA339,"Scottsbluff, NE",91571,270,Y
107,PEA340,"Clovis, NM",84529,250,Y
107,PEA341,"Alamogordo, NM",84294,250,Y
107,PEA342,"Mitchell, SD",83465,250,Y
107,PEA343,"Pecos, TX",82332,250,Y
107,PEA344,"Clanton, AL",82318,250,Y
107,PEA345,"Newberry, SC",81339,240,Y
107,PEA346,"Franklin, NC",80814,240,Y
107,PEA347,"New Roads, LA",79775,240,Y
107,PEA348,"Aberdeen, SD",79541,240,Y
107,PEA349,"Marion, NC",78393,240,Y
107,PEA350,"Forrest City, AR",78309,230,Y
107,PEA351,"Dickinson, ND",78183,230,Y
107,PEA352,"Gonzales, TX",77549,230,Y
107,PEA353,"Watseka, IL",77440,230,Y
107,PEA354,"New London, WI",76906,230,Y
107,PEA355,"Casper, WY",75450,230,Y
107,PEA356,"Colville, WA",74653,220,Y
107,PEA357,"Espanola, NM",73183,220,Y
107,PEA358,"Marble Falls, TX",72548,220,Y
107,PEA359,"Sterling, CO",72175,220,Y
107,PEA361,"Richfield, UT",71373,210,Y
107,PEA362,"Payette, ID",70406,210,Y
107,PEA363,"Big Spring, TX",70297,210,Y
107,PEA364,"Butte, MT",69762,210,Y
107,PEA365,"Vernon, TX",69603,210,Y
107,PEA366,"Pullman, WA",68665,210,Y
107,PEA367,"Moberly, MO",66156,200,Y
107,PEA368,"Concordia, KS",65577,200,Y
107,PEA369,"Red Oak, IA",65203,200,Y
107,PEA370,"Washington, IA",64135,190,Y
107,PEA371,"Wytheville, VA",62965,190,Y
107,PEA372,"Colby, KS",62951,190,Y
107,PEA373,"Walla Walla, WA",62859,190,Y
107,PEA374,"North Platte, NE",61592,180,Y
107,PEA375,"Deming, NM",59503,180,Y
107,PEA376,"Hereford, TX",59127,180,Y
107,PEA377,"Demopolis, AL",57694,170,Y
107,PEA378,"Waynesboro, GA",57502,170,Y
107,PEA379,"Sault Ste. Marie, MI",56264,170,Y
107,PEA380,"Escanaba, MI",55155,170,Y
107,PEA381,"Del Rio, TX",54479,160,Y
107,PEA382,"Riverton, WY",53468,160,Y
107,PEA383,"Creston, IA",50709,150,Y
107,PEA384,"Manchester, IA",50223,150,Y
107,PEA385,"Hannibal, MO",49159,150,Y
107,PEA386,"Barnwell, SC",49027,150,Y
107,PEA387,"Wahpeton, ND",48521,150,Y
107,PEA388,"Atlantic, IA",47170,140,Y
107,PEA389,"McCook, NE",47014,140,Y
107,PEA390,"Snyder, TX",45514,140,Y
107,PEA391,"Ontario, OR",38735,120,Y
107,PEA392,"Maryville, MO",37191,110,Y
107,PEA393,"Macon, MO",36158,110,Y
107,PEA394,"Martin, SD",34651,100,Y
107,PEA395,"Jamestown, ND",34328,100,Y
107,PEA396,"Winterset, IA",34315,100,Y
107,PEA397,"Aliceville, AL",34310,100,Y
107,PEA398,"South Sioux City, NE",33946,100,Y
107,PEA399,"Lampasas, TX",25808,80,Y
107,PEA400,"Muleshoe, TX",25496,80,Y
107,PEA401,"Floydada, TX",25065,80,Y
107,PEA402,"Brady, TX",23231,70,Y
107,PEA403,"Lewistown, MT",21970,70,Y
107,PEA404,"Kanab, UT",21871,70,Y
107,PEA405,"Jackson, WY",21294,60,Y
107,PEA406,"Anamosa, IA",20638,60,Y
107,PEA407,"Salmon, ID",15195,50,Y
107,PEA408,"Ballinger, TX",14964,50,Y
107,PEA409,"Haskell, TX",14772,50,Y
107,PEA410,"Valentine, NE",11796,50,Y
107,PEA411,"Van Horn, TX",5874,50,Y
