auction_id,frn,bidder_name,market_number,eligible_market
107,0028676666,"8538 Green Street LLC",PEA236,Y
107,0028676666,"8538 Green Street LLC",PEA237,Y
107,0028676666,"8538 Green Street LLC",PEA238,Y
107,0028676666,"8538 Green Street LLC",PEA239,Y
107,0028676666,"8538 Green Street LLC",PEA240,Y
107,0028676666,"8538 Green Street LLC",PEA241,Y
107,0028676666,"8538 Green Street LLC",PEA242,Y
107,0028676666,"8538 Green Street LLC",PEA243,Y
107,0028676666,"8538 Green Street LLC",PEA244,Y
107,0028676666,"8538 Green Street LLC",PEA245,Y
107,0028676666,"8538 Green Street LLC",PEA246,Y
107,0028676666,"8538 Green Street LLC",PEA247,Y
107,0028676666,"8538 Green Street LLC",PEA248,Y
107,0028676666,"8538 Green Street LLC",PEA249,Y
107,0028676666,"8538 Green Street LLC",PEA250,Y
107,0028676666,"8538 Green Street LLC",PEA251,Y
107,0028676666,"8538 Green Street LLC",PEA252,Y
107,0028676666,"8538 Green Street LLC",PEA253,Y
107,0028676666,"8538 Green Street LLC",PEA254,Y
107,0028676666,"8538 Green Street LLC",PEA255,Y
107,0028676666,"8538 Green Street LLC",PEA256,Y
107,0028676666,"8538 Green Street LLC",PEA257,Y
107,0028676666,"8538 Green Street LLC",PEA258,Y
107,0028676666,"8538 Green Street LLC",PEA259,Y
107,0028676666,"8538 Green Street LLC",PEA260,Y
107,0028676666,"8538 Green Street LLC",PEA261,Y
107,0028676666,"8538 Green Street LLC",PEA262,Y
107,0028676666,"8538 Green Street LLC",PEA263,Y
107,0028676666,"8538 Green Street LLC",PEA265,Y
107,0028676666,"8538 Green Street LLC",PEA266,Y
107,0028676666,"8538 Green Street LLC",PEA267,Y
107,0028676666,"8538 Green Street LLC",PEA268,Y
107,0028676666,"8538 Green Street LLC",PEA269,Y
107,0028676666,"8538 Green Street LLC",PEA270,Y
107,0028676666,"8538 Green Street LLC",PEA271,Y
107,0028676666,"8538 Green Street LLC",PEA272,Y
107,0028676666,"8538 Green Street LLC",PEA273,Y
107,0028676666,"8538 Green Street LLC",PEA274,Y
107,0028676666,"8538 Green Street LLC",PEA275,Y
107,0028676666,"8538 Green Street LLC",PEA276,Y
107,0028676666,"8538 Green Street LLC",PEA277,Y
107,0028676666,"8538 Green Street LLC",PEA278,Y
107,0028676666,"8538 Green Street LLC",PEA279,Y
107,0028676666,"8538 Green Street LLC",PEA280,Y
107,0028676666,"8538 Green Street LLC",PEA281,Y
107,0028676666,"8538 Green Street LLC",PEA282,Y
107,0028676666,"8538 Green Street LLC",PEA283,Y
107,0028676666,"8538 Green Street LLC",PEA284,Y
107,0028676666,"8538 Green Street LLC",PEA285,Y
107,0028676666,"8538 Green Street LLC",PEA286,Y
107,0028676666,"8538 Green Street LLC",PEA287,Y
107,0028676666,"8538 Green Street LLC",PEA288,Y
107,0028676666,"8538 Green Street LLC",PEA289,Y
107,0028676666,"8538 Green Street LLC",PEA290,Y
107,0028676666,"8538 Green Street LLC",PEA291,Y
107,0028676666,"8538 Green Street LLC",PEA292,Y
107,0028676666,"8538 Green Street LLC",PEA293,Y
107,0028676666,"8538 Green Street LLC",PEA294,Y
107,0028676666,"8538 Green Street LLC",PEA295,Y
107,0028676666,"8538 Green Street LLC",PEA296,Y
107,0028676666,"8538 Green Street LLC",PEA297,Y
107,0028676666,"8538 Green Street LLC",PEA299,Y
107,0028676666,"8538 Green Street LLC",PEA300,Y
107,0028676666,"8538 Green Street LLC",PEA301,Y
107,0028676666,"8538 Green Street LLC",PEA302,Y
107,0028676666,"8538 Green Street LLC",PEA303,Y
107,0028676666,"8538 Green Street LLC",PEA304,Y
107,0028676666,"8538 Green Street LLC",PEA305,Y
107,0028676666,"8538 Green Street LLC",PEA306,Y
107,0028676666,"8538 Green Street LLC",PEA307,Y
107,0028676666,"8538 Green Street LLC",PEA308,Y
107,0028676666,"8538 Green Street LLC",PEA309,Y
107,0028676666,"8538 Green Street LLC",PEA310,Y
107,0028676666,"8538 Green Street LLC",PEA311,Y
107,0028676666,"8538 Green Street LLC",PEA312,Y
107,0028676666,"8538 Green Street LLC",PEA313,Y
107,0028676666,"8538 Green Street LLC",PEA314,Y
107,0028676666,"8538 Green Street LLC",PEA315,Y
107,0028676666,"8538 Green Street LLC",PEA316,Y
107,0028676666,"8538 Green Street LLC",PEA317,Y
107,0028676666,"8538 Green Street LLC",PEA318,Y
107,0028676666,"8538 Green Street LLC",PEA319,Y
107,0028676666,"8538 Green Street LLC",PEA320,Y
107,0028676666,"8538 Green Street LLC",PEA321,Y
107,0028676666,"8538 Green Street LLC",PEA322,Y
107,0028676666,"8538 Green Street LLC",PEA323,Y
107,0028676666,"8538 Green Street LLC",PEA324,Y
107,0028676666,"8538 Green Street LLC",PEA325,Y
107,0028676666,"8538 Green Street LLC",PEA326,Y
107,0028676666,"8538 Green Street LLC",PEA327,Y
107,0028676666,"8538 Green Street LLC",PEA328,Y
107,0028676666,"8538 Green Street LLC",PEA329,Y
107,0028676666,"8538 Green Street LLC",PEA330,Y
107,0028676666,"8538 Green Street LLC",PEA331,Y
107,0028676666,"8538 Green Street LLC",PEA332,Y
107,0028676666,"8538 Green Street LLC",PEA333,Y
107,0028676666,"8538 Green Street LLC",PEA334,Y
107,0028676666,"8538 Green Street LLC",PEA335,Y
107,0028676666,"8538 Green Street LLC",PEA336,Y
107,0028676666,"8538 Green Street LLC",PEA337,Y
107,0028676666,"8538 Green Street LLC",PEA338,Y
107,0028676666,"8538 Green Street LLC",PEA339,Y
107,0028676666,"8538 Green Street LLC",PEA340,Y
107,0028676666,"8538 Green Street LLC",PEA341,Y
107,0028676666,"8538 Green Street LLC",PEA342,Y
107,0028676666,"8538 Green Street LLC",PEA343,Y
107,0028676666,"8538 Green Street LLC",PEA344,Y
107,0028676666,"8538 Green Street LLC",PEA345,Y
107,0028676666,"8538 Green Street LLC",PEA346,Y
107,0028676666,"8538 Green Street LLC",PEA347,Y
107,0028676666,"8538 Green Street LLC",PEA348,Y
107,0028676666,"8538 Green Street LLC",PEA349,Y
107,0028676666,"8538 Green Street LLC",PEA350,Y
107,0028676666,"8538 Green Street LLC",PEA351,Y
107,0028676666,"8538 Green Street LLC",PEA352,Y
107,0028676666,"8538 Green Street LLC",PEA353,Y
107,0028676666,"8538 Green Street LLC",PEA354,Y
107,0028676666,"8538 Green Street LLC",PEA355,Y
107,0028676666,"8538 Green Street LLC",PEA356,Y
107,0028676666,"8538 Green Street LLC",PEA357,Y
107,0028676666,"8538 Green Street LLC",PEA358,Y
107,0028676666,"8538 Green Street LLC",PEA359,Y
107,0028676666,"8538 Green Street LLC",PEA361,Y
107,0028676666,"8538 Green Street LLC",PEA362,Y
107,0028676666,"8538 Green Street LLC",PEA363,Y
107,0028676666,"8538 Green Street LLC",PEA364,Y
107,0028676666,"8538 Green Street LLC",PEA365,Y
107,0028676666,"8538 Green Street LLC",PEA366,Y
107,0028676666,"8538 Green Street LLC",PEA367,Y
107,0028676666,"8538 Green Street LLC",PEA368,Y
107,0028676666,"8538 Green Street LLC",PEA369,Y
107,0028676666,"8538 Green Street LLC",PEA370,Y
107,0028676666,"8538 Green Street LLC",PEA371,Y
107,0028676666,"8538 Green Street LLC",PEA372,Y
107,0028676666,"8538 Green Street LLC",PEA373,Y
107,0028676666,"8538 Green Street LLC",PEA374,Y
107,0028676666,"8538 Green Street LLC",PEA375,Y
107,0028676666,"8538 Green Street LLC",PEA376,Y
107,0028676666,"8538 Green Street LLC",PEA377,Y
107,0028676666,"8538 Green Street LLC",PEA378,Y
107,0028676666,"8538 Green Street LLC",PEA379,Y
107,0028676666,"8538 Green Street LLC",PEA380,Y
107,0028676666,"8538 Green Street LLC",PEA381,Y
107,0028676666,"8538 Green Street LLC",PEA382,Y
107,0028676666,"8538 Green Street LLC",PEA383,Y
107,0028676666,"8538 Green Street LLC",PEA384,Y
107,0028676666,"8538 Green Street LLC",PEA385,Y
107,0028676666,"8538 Green Street LLC",PEA386,Y
107,0028676666,"8538 Green Street LLC",PEA387,Y
107,0028676666,"8538 Green Street LLC",PEA388,Y
107,0028676666,"8538 Green Street LLC",PEA389,Y
107,0028676666,"8538 Green Street LLC",PEA390,Y
107,0028676666,"8538 Green Street LLC",PEA391,Y
107,0028676666,"8538 Green Street LLC",PEA392,Y
